Directorate,Updated,TransNo,Service,Cost Centre,Supplier Name,Amount,Type
Adult & Community Services,10/23/2009,2622848,Elderly & Physical Disability,SRHP,Care Response Ltd,"1,289.20",Revenue
Adult & Community Services,10/23/2009,2622851,Elderly & Physical Disability,SRHP,Care Response Ltd,598.28,Revenue
Adult & Community Services,10/23/2009,2622852,Elderly & Physical Disability,SRHP,Care Response Ltd,665.96,Revenue
Adult & Community Services,10/23/2009,2622855,Elderly & Physical Disability,SRHP,Care Response Ltd,500.01,Revenue
Adult & Community Services,10/23/2009,2622857,Elderly & Physical Disability,SRHP,Care Response Ltd,701.24,Revenue
Adult & Community Services,11/23/2009,2627563,Elderly & Physical Disability,SRHP,Care Response Ltd,"1,556.70",Revenue
Adult & Community Services,11/23/2009,2627565,Elderly & Physical Disability,SRHP,Care Response Ltd,"1,281.63",Revenue
Adult & Community Services,11/23/2009,2627572,Elderly & Physical Disability,SRHP,Care Response Ltd,500.72,Revenue
Adult & Community Services,11/23/2009,2627583,Elderly & Physical Disability,SRHP,Care Response Ltd,701.24,Revenue
Adult & Community Services,11/23/2009,2627586,Elderly & Physical Disability,SRHP,Care Response Ltd,550.08,Revenue
Adult & Community Services,11/27/2009,2629013,Elderly & Physical Disability,SRHP,Care Response Ltd,638.59,Revenue
Adult & Community Services,11/27/2009,2629014,Elderly & Physical Disability,SRHP,Care Response Ltd,999.9,Revenue
Adult & Community Services,11/27/2009,2629016,Elderly & Physical Disability,SRHP,Care Response Ltd,799.87,Revenue
Adult & Community Services,12/11/2009,2631346,Elderly & Physical Disability,SRHP,Care Response Ltd,"1,263.94",Revenue
Adult & Community Services,12/11/2009,2631347,Elderly & Physical Disability,SRHP,Care Response Ltd,"2,984.56",Revenue
Adult & Community Services,12/11/2009,2631354,Elderly & Physical Disability,SRHP,Care Response Ltd,537.68,Revenue
Adult & Community Services,12/11/2009,2631361,Elderly & Physical Disability,SRHP,Care Response Ltd,756,Revenue
Adult & Community Services,12/11/2009,2631364,Elderly & Physical Disability,SRHP,Care Response Ltd,701.24,Revenue
Adult & Community Services,9/2/2009,2611535,Elderly & Physical Disability,SDEC,Care UK Community Partnerships Ltd,"11,134.03",Revenue
Adult & Community Services,9/16/2009,2614828,Elderly & Physical Disability,SDPC,Care UK Community Partnerships Ltd,"3,207.00",Revenue
Adult & Community Services,9/22/2009,2615430,Elderly & Physical Disability,SDEC,Care UK Community Partnerships Ltd,"98,643.77",Revenue
Adult & Community Services,10/20/2009,2621635,Elderly & Physical Disability,SDEC,Care UK Community Partnerships Ltd,"98,643.77",Revenue
Adult & Community Services,10/23/2009,2621783,Elderly & Physical Disability,SDPC,Care UK Community Partnerships Ltd,"3,313.90",Revenue
Adult & Community Services,11/20/2009,2627475,Elderly & Physical Disability,SDPC,Care UK Community Partnerships Ltd,"3,207.00",Revenue
Adult & Community Services,12/11/2009,2630559,Elderly & Physical Disability,SDPC,Care UK Community Partnerships Ltd,"3,313.90",Revenue
Adult & Community Services,12/14/2009,2631810,Elderly & Physical Disability,SDEC,Care UK Community Partnerships Ltd,"95,461.71",Revenue
Adult & Community Services,9/12/2009,2614252,Elderly & Physical Disability,SRHP,Careforce,"51,894.95",Revenue
Adult & Community Services,10/13/2009,2619683,Elderly & Physical Disability,SRHP,Careforce,"52,120.11",Revenue
Adult & Community Services,11/7/2009,2624868,Elderly & Physical Disability,SRHP,Careforce,"52,839.34",Revenue
Adult & Community Services,12/8/2009,2630136,Elderly & Physical Disability,SRHP,Careforce,"53,108.27",Revenue
Adult & Community Services,9/12/2009,2613632,Elderly & Physical Disability,SRHP,Carewatch (South Bucks & North Berks),"18,748.80",Revenue
Adult & Community Services,9/12/2009,2614246,Elderly & Physical Disability,SRHP,Carewatch (South Bucks & North Berks),"28,831.53",Revenue
Adult & Community Services,10/13/2009,2619680,Elderly & Physical Disability,SRHP,Carewatch (South Bucks & North Berks),"29,244.07",Revenue
Adult & Community Services,10/23/2009,2621932,Elderly & Physical Disability,SRHP,Carewatch (South Bucks & North Berks),"18,748.80",Revenue
Adult & Community Services,11/6/2009,2624422,Elderly & Physical Disability,SRHP,Carewatch (South Bucks & North Berks),"18,748.80",Revenue
Adult & Community Services,11/6/2009,2624866,Elderly & Physical Disability,SRHP,Carewatch (South Bucks & North Berks),"25,431.63",Revenue
Adult & Community Services,12/4/2009,2629831,Elderly & Physical Disability,SRHP,Carewatch (South Bucks & North Berks),"18,748.80",Revenue
Adult & Community Services,12/8/2009,2630128,Elderly & Physical Disability,SRHP,Carewatch (South Bucks & North Berks),"23,109.41",Revenue
Adult & Community Services,9/22/2009,2615552,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,9/22/2009,2615556,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,9/22/2009,2615560,Elderly & Physical Disability,SDEC,Central & Cecil,"2,314.29",Revenue
Adult & Community Services,9/22/2009,2615831,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,9/22/2009,2615833,Elderly & Physical Disability,SDEC,Central & Cecil,"2,057.14",Revenue
Adult & Community Services,9/22/2009,2615834,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,9/22/2009,2615836,Elderly & Physical Disability,SDEC,Central & Cecil,"3,024.00",Revenue
Adult & Community Services,9/21/2009,2615841,Elderly & Physical Disability,SDEC,Central & Cecil,"27,216.00",Revenue
Adult & Community Services,9/22/2009,2615859,Elderly & Physical Disability,SDEC,Central & Cecil,"44,520.00",Revenue
Adult & Community Services,9/22/2009,2615859,Elderly & Physical Disability,SDPC,Central & Cecil,"2,120.00",Revenue
Adult & Community Services,9/28/2009,2616496,Elderly & Physical Disability,SDEC,Central & Cecil,"1,371.43",Revenue
Adult & Community Services,9/28/2009,2616520,Elderly & Physical Disability,SDEC,Central & Cecil,650,Revenue
Adult & Community Services,9/28/2009,2616883,Elderly & Physical Disability,SDEC,Central & Cecil,"3,024.00",Revenue
Adult & Community Services,10/12/2009,2619893,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,10/12/2009,2619906,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,10/15/2009,2620300,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,10/15/2009,2620303,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,10/15/2009,2620308,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,10/15/2009,2620316,Elderly & Physical Disability,SDEC,Central & Cecil,"44,520.00",Revenue
Adult & Community Services,10/15/2009,2620316,Elderly & Physical Disability,SDPC,Central & Cecil,"2,120.00",Revenue
Adult & Community Services,10/15/2009,2620318,Elderly & Physical Disability,SDEC,Central & Cecil,"3,024.00",Revenue
Adult & Community Services,10/14/2009,2620322,Elderly & Physical Disability,SDEC,Central & Cecil,"27,216.00",Revenue
Adult & Community Services,10/15/2009,2620897,Elderly & Physical Disability,SDEC,Central & Cecil,"3,024.00",Revenue
Adult & Community Services,10/20/2009,2621925,Elderly & Physical Disability,SDEC,Central & Cecil,"96,668.65",Revenue
Adult & Community Services,10/23/2009,2622280,Elderly & Physical Disability,SDEC,Central & Cecil,"1,287.14",Revenue
Adult & Community Services,11/10/2009,2625216,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,11/10/2009,2625218,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,11/10/2009,2625220,Elderly & Physical Disability,SDEC,Central & Cecil,857.14,Revenue
Adult & Community Services,11/12/2009,2625390,Elderly & Physical Disability,SDEC,Central & Cecil,"27,216.00",Revenue
Adult & Community Services,11/12/2009,2625391,Elderly & Physical Disability,SDEC,Central & Cecil,"3,024.00",Revenue
Adult & Community Services,11/13/2009,2625393,Elderly & Physical Disability,SDEC,Central & Cecil,"44,520.00",Revenue
Adult & Community Services,11/13/2009,2625393,Elderly & Physical Disability,SDPC,Central & Cecil,"2,120.00",Revenue
Adult & Community Services,11/12/2009,2625460,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,11/19/2009,2625997,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,11/19/2009,2626009,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,11/19/2009,2627039,Elderly & Physical Disability,SDEC,Central & Cecil,"3,024.00",Revenue
Adult & Community Services,11/26/2009,2627829,Elderly & Physical Disability,SDEC,Central & Cecil,"2,228.57",Revenue
Adult & Community Services,12/11/2009,2630139,Elderly & Physical Disability,SDEC,Central & Cecil,"3,024.00",Revenue
Adult & Community Services,12/11/2009,2630140,Elderly & Physical Disability,SDEC,Central & Cecil,"44,520.00",Revenue
Adult & Community Services,12/11/2009,2630140,Elderly & Physical Disability,SDPC,Central & Cecil,"2,120.00",Revenue
Adult & Community Services,12/8/2009,2630148,Elderly & Physical Disability,SDEC,Central & Cecil,"27,216.00",Revenue
Adult & Community Services,12/11/2009,2630150,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,12/11/2009,2630155,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,12/11/2009,2630157,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,12/11/2009,2630691,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,12/11/2009,2631067,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,12/11/2009,2631088,Elderly & Physical Disability,SDEC,Central & Cecil,"2,400.00",Revenue
Adult & Community Services,9/2/2009,2611068,Elderly & Physical Disability,SDPC,Chalfont Centre For Epilepsy,"6,788.16",Revenue
Adult & Community Services,9/12/2009,2613951,Elderly & Physical Disability,SDPC,Chalfont Centre For Epilepsy,"8,485.20",Revenue
Adult & Community Services,9/12/2009,2614009,Elderly & Physical Disability,SDPC,Chalfont Centre For Epilepsy,"5,802.70",Revenue
Adult & Community Services,10/23/2009,2622903,Elderly & Physical Disability,SDPC,Chalfont Centre For Epilepsy,"6,788.16",Revenue
Adult & Community Services,10/27/2009,2623200,Elderly & Physical Disability,SDPC,Chalfont Centre For Epilepsy,"4,564.46",Revenue
Adult & Community Services,11/18/2009,2626364,Elderly & Physical Disability,SDPC,Chalfont Centre For Epilepsy,"6,788.16",Revenue
Adult & Community Services,11/20/2009,2627478,Elderly & Physical Disability,SDPC,Chalfont Centre For Epilepsy,"4,631.80",Revenue
Adult & Community Services,12/11/2009,2631235,Elderly & Physical Disability,SDPC,Chalfont Centre For Epilepsy,"8,485.20",Revenue
Adult & Community Services,9/15/2009,2614377,Elderly & Physical Disability,SDPC,Chalfont Lodge Nursing Home,"4,630.71",Revenue
Adult & Community Services,9/17/2009,2614841,Elderly & Physical Disability,SDPC,Chalfont Lodge Nursing Home,"5,089.11",Revenue
Adult & Community Services,9/17/2009,2614849,Elderly & Physical Disability,SDPC,Chalfont Lodge Nursing Home,"5,410.71",Revenue
Adult & Community Services,9/28/2009,2616637,Elderly & Physical Disability,SDEC,Chalfont Lodge Nursing Home,"3,712.59",Revenue
Adult & Community Services,9/28/2009,2616641,Elderly & Physical Disability,SDPC,Chalfont Lodge Nursing Home,"3,695.66",Revenue
Adult & Community Services,10/15/2009,2620898,Elderly & Physical Disability,SDPC,Chalfont Lodge Nursing Home,"4,785.07",Revenue
Adult & Community Services,10/23/2009,2621263,Elderly & Physical Disability,SDPC,Chalfont Lodge Nursing Home,"5,591.07",Revenue
Adult & Community Services,10/23/2009,2621269,Elderly & Physical Disability,SDPC,Chalfont Lodge Nursing Home,"5,258.75",Revenue
Adult & Community Services,11/19/2009,2626004,Elderly & Physical Disability,SDPC,Chalfont Lodge Nursing Home,"4,630.71",Revenue
Adult & Community Services,11/20/2009,2627424,Elderly & Physical Disability,SDEC,Chalfont Lodge Nursing Home,"3,365.58",Revenue
Adult & Community Services,11/20/2009,2627426,Elderly & Physical Disability,SDEC,Chalfont Lodge Nursing Home,"3,257.02",Revenue
Adult & Community Services,11/20/2009,2627429,Elderly & Physical Disability,SDPC,Chalfont Lodge Nursing Home,"3,348.09",Revenue
Adult & Community Services,11/20/2009,2627430,Elderly & Physical Disability,SDPC,Chalfont Lodge Nursing Home,"3,240.09",Revenue
Adult & Community Services,11/21/2009,2627685,Elderly & Physical Disability,SDPC,Chalfont Lodge Nursing Home,"5,089.11",Revenue
Adult & Community Services,11/27/2009,2627780,Elderly & Physical Disability,SDPC,Chalfont Lodge Nursing Home,"5,410.71",Revenue
Adult & Community Services,12/8/2009,2630552,Elderly & Physical Disability,SDPC,Chalfont Lodge Nursing Home,"5,258.75",Revenue
Adult & Community Services,12/8/2009,2630554,Elderly & Physical Disability,SDPC,Chalfont Lodge Nursing Home,"5,591.07",Revenue
Adult & Community Services,12/11/2009,2630684,Elderly & Physical Disability,SDEC,Chalfont Lodge Nursing Home,"3,365.58",Revenue
Adult & Community Services,12/11/2009,2630685,Elderly & Physical Disability,SDPC,Chalfont Lodge Nursing Home,"3,348.09",Revenue
Adult & Community Services,12/11/2009,2630736,Elderly & Physical Disability,SDPC,Chalfont Lodge Nursing Home,"4,785.07",Revenue
Adult & Community Services,9/17/2009,2615002,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,372.70",Revenue
Adult & Community Services,9/17/2009,2615003,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,372.70",Revenue
Adult & Community Services,9/17/2009,2615004,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,444.10",Revenue
Adult & Community Services,9/17/2009,2615006,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,451.79",Revenue
Adult & Community Services,10/1/2009,2617104,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,644.52,Revenue
Adult & Community Services,10/8/2009,2618058,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,451.79",Revenue
Adult & Community Services,10/8/2009,2618061,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,451.79",Revenue
Adult & Community Services,10/8/2009,2618097,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,451.79",Revenue
Adult & Community Services,10/8/2009,2618109,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,457.68",Revenue
Adult & Community Services,10/8/2009,2618128,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,451.79",Revenue
Adult & Community Services,10/20/2009,2621638,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,525.57",Revenue
Adult & Community Services,10/20/2009,2621640,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"1,665.01",Revenue
Adult & Community Services,10/20/2009,2621645,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,451.79",Revenue
Adult & Community Services,10/20/2009,2621647,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,451.79",Revenue
Adult & Community Services,10/20/2009,2621648,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,451.79",Revenue
Adult & Community Services,11/12/2009,2625620,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,372.70",Revenue
Adult & Community Services,11/12/2009,2625642,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,372.70",Revenue
Adult & Community Services,11/12/2009,2625675,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,372.00",Revenue
Adult & Community Services,11/19/2009,2625888,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,378.40",Revenue
Adult & Community Services,11/19/2009,2625995,Elderly & Physical Disability,SDEC,Cherry Garden Nursing Home,"2,372.70",Revenue
