"Wardcode","Wardname","Subgroup"
"00BNFJ","Burnage","2.3.4"
"00BNFK","Central","4.6.10"
"00BNFL","Charlestown","3.5.7"
"00BNFM","Cheetham","6.8.14"
"00BNFN","Chorlton","5.7.12"
"00BNFP","Crumpsall","5.7.12"
"00BNFQ","Didsbury","5.7.12"
"00BNFR","Fallowfield","5.7.11"
"00BNFS","Gorton North","2.4.5"
"00BNFT","Gorton South","2.3.4"
"00BNFU","Harpurhey","2.3.4"
"00BNFW","Hulme","5.7.11"
"00BNFX","Levenshulme","5.7.12"
"00BNFY","Lightbowne","2.4.5"
"00BNFZ","Longsight","6.8.14"
"00BNGA","Moss Side","6.9.15"
"00BNGB","Moston","1.2.3"
"00BNGC","Newton Heath","2.3.4"
"00BNGD","Northenden","2.4.6"
"00BNGE","Old Moat","5.7.11"
"00BNGF","Rusholme","5.7.11"
"00BNGG","Sharston","1.2.3"
"00BNGH","Whalley Range","5.7.12"
"00BNGJ","Withington","5.7.11"
"00BNGK","Woodhouse Park","2.3.4"
"00BPFA","Alexandra","2.3.4"
"00BPFB","Chadderton Central","8.15.24"
"00BPFC","Chadderton North","8.15.24"
"00BPFD","Chadderton South","1.2.3"
"00BPFE","Coldhurst","6.8.14"
"00BPFF","Crompton","1.1.2"
"00BPFG","Failsworth East","7.10.17"
"00BPFH","Failsworth West","1.2.3"
"00BPFJ","Hollinwood","2.3.4"
"00BPFK","Lees","1.2.3"
"00BPFL","Royton North","1.1.2"
"00BPFM","Royton South","8.15.24"
"00BPFN","Saddleworth East","7.10.16"
"00BPFP","Saddleworth West","1.1.2"
"00BPFQ","St. James","2.3.4"
"00BPFR","St. Marys","6.8.14"
"00BPFS","St. Pauls","2.4.5"
"00BPFT","Shaw","7.10.17"
"00BPFU","Waterhead","1.2.3"
"00BPFW","Werneth","6.8.14"
"00BQFA","Balderstone","1.2.3"
"00BQFB","Brimrod and Deeplish","6.8.14"
"00BQFC","Castleton","1.1.1"
"00BQFD","Central and Falinge","6.8.14"
"00BQFE","Healey","8.15.24"
"00BQFF","Heywood North","1.2.3"
"00BQFG","Heywood South","1.2.3"
"00BQFH","Heywood West","1.2.3"
"00BQFJ","Littleborough","8.15.24"
"00BQFK","Middleton Central","2.3.4"
"00BQFL","Middleton East","1.2.3"
"00BQFM","Middleton North","1.2.3"
"00BQFN","Middleton South","1.1.2"
"00BQFP","Middleton West","2.3.4"
"00BQFQ","Milnrow","8.15.24"
"00BQFR","Newbold","2.3.4"
"00BQFS","Norden and Bamford","7.10.16"
"00BQFT","Smallbridge and Wardleworth","6.8.14"
"00BQFU","Spotland","1.2.3"
"00BQFW","Wardle","1.1.2"
"00BRFA","Barton","2.4.5"
"00BRFB","Blackfriars","3.5.7"
"00BRFC","Broughton","2.3.4"
"00BRFD","Cadishead","1.2.3"
"00BRFE","Claremont","1.1.2"
"00BRFF","Eccles","3.5.8"
"00BRFG","Irlam","1.2.3"
"00BRFH","Kersal","7.12.20"
"00BRFJ","Langworthy","2.4.5"
"00BRFK","Little Hulton","2.3.4"
"00BRFL","Ordsall","3.5.7"
"00BRFM","Pendlebury","1.2.3"
"00BRFN","Pendleton","3.5.7"
"00BRFP","Swinton North","1.1.1"
"00BRFQ","Swinton South","1.1.2"
"00BRFR","Walkden North","1.2.3"
"00BRFS","Walkden South","1.1.2"
"00BRFT","Weaste and Seedley","3.5.8"
"00BRFU","Winton","1.2.3"
"00BRFW","Worsley and Boothstown","7.10.16"
"00BSFA","Bredbury","8.15.24"
"00BSFB","Brinnington","2.3.4"
"00BSFC","Cale Green","1.2.3"
"00BSFD","Cheadle","7.12.19"
"00BSFE","Cheadle Hulme North","1.1.2"
"00BSFF","Cheadle Hulme South","7.12.19"
"00BSFG","Davenport","7.10.17"
"00BSFH","East Bramhall","7.10.16"
"00BSFJ","Edgeley","2.4.5"
"00BSFK","Great Moor","1.2.3"
"00BSFL","Hazel Grove","1.1.2"
"00BSFM","Heald Green","1.1.2"
"00BSFN","Heaton Mersey","5.7.12"
"00BSFP","Heaton Moor","7.12.19"
"00BSFQ","Manor","1.2.3"
"00BSFR","North Marple","7.12.19"
"00BSFS","North Reddish","1.2.3"
"00BSFT","Romiley","1.1.2"
"00BSFU","South Marple","7.10.16"
"00BSFW","South Reddish","2.4.5"
"00BSFX","West Bramhall","7.12.19"
"00BTFA","Ashton Hurst","8.15.24"
"00BTFB","Ashton St. Michael's","2.4.5"
"00BTFC","Ashton St. Peters'","2.4.5"
"00BTFD","Ashton Waterloo","1.2.3"
"00BTFE","Audenshaw","8.15.24"
"00BTFF","Denton North East","1.2.3"
"00BTFG","Denton South","1.1.1"
"00BTFH","Denton West","1.1.2"
"00BTFJ","Droylsden East","1.2.3"
"00BTFK","Droylsden West","1.2.3"
"00BTFL","Dukinfield","1.2.3"
"00BTFM","Dukinfield Stalybridge","1.1.1"
"00BTFN","Hyde Godley","1.2.3"
"00BTFP","Hyde Newton","1.1.1"
"00BTFQ","Hyde Werneth","7.10.17"
"00BTFR","Longdendale","1.1.1"
"00BTFS","Mossley","1.1.1"
"00BTFT","Stalybridge North","1.1.1"
"00BTFU","Stalybridge South","7.10.17"
"00BUFA","Altrincham","5.7.12"
"00BUFB","Bowdon","7.12.19"
"00BUFC","Broadheath","7.10.17"
"00BUFD","Brooklands","7.12.19"
"00BUFE","Bucklow","1.2.3"
"00BUFF","Clifford","6.8.14"
"00BUFG","Davyhulme East","1.1.2"
"00BUFH","Davyhulme West","1.1.2"
"00BUFJ","Flixton","1.1.2"
"00BUFK","Hale","7.12.19"
"00BUFL","Longford","7.12.20"
"00BUFM","Mersey St. Mary's","7.12.19"
"00BUFN","Park","1.2.3"
"00BUFP","Priory","5.7.12"
"00BUFQ","St. Martin's","1.2.3"
"00BUFR","Sale Moor","7.10.17"
"00BUFS","Stretford","7.12.20"
"00BUFT","Talbot","2.4.5"
"00BUFU","Timperley","7.12.19"
"00BUFW","Urmston","5.7.12"
"00BUFX","Village","1.1.2"
"00BWFA","Abram","1.1.1"
"00BWFB","Ashton-Golborne","8.15.24"
"00BWFC","Aspull-Standish","1.1.2"
"00BWFD","Atherton","1.1.1"
"00BWFE","Bedford-Astley","8.15.24"
"00BWFF","Beech Hill","1.2.3"
"00BWFG","Bryn","8.15.24"
"00BWFH","Hindley","1.1.1"
"00BWFJ","Hindley Green","8.15.24"
"00BWFK","Hindsford","1.1.1"
"00BWFL","Hope Carr","1.1.2"
"00BWFM","Ince","1.2.3"
"00BWFN","Langtree","7.10.16"
"00BWFP","Leigh Central","1.1.1"
"00BWFQ","Leigh East","1.1.1"
"00BWFR","Lightshaw","8.15.24"
"00BWFS","Newtown","1.2.3"
"00BWFT","Norley","2.3.4"
"00BWFU","Orrell","1.1.2"
"00BWFW","Swinley","1.1.2"
"00BWFX","Tyldesley East","1.1.2"
"00BWFY","Whelley","1.2.3"
"00BWFZ","Winstanley","8.15.24"
"00BWGA","Worsley Mesnes","1.2.3"
"00BXFA","Cantril Farm","2.3.4"
"00BXFB","Cherryfield","2.3.4"
"00BXFC","Halewood East","7.11.18"
"00BXFD","Halewood South","2.3.4"
"00BXFE","Halewood West","2.3.4"
"00BXFF","Kirkby Central","2.3.4"
"00BXFG","Knowsley Park","1.2.3"
"00BXFH","Longview","2.3.4"
"00BXFJ","Northwood","2.3.4"
"00BXFK","Page Moss","2.4.5"
"00BXFL","Park","2.4.6"
"00BXFM","Prescot East","1.2.3"
"00BXFN","Prescot West","8.13.22"
"00BXFP","Princess","2.3.4"
"00BXFQ","Roby","1.1.2"
"00BXFR","St. Gabriels","2.3.4"
"00BXFS","St. Michaels","2.3.4"
"00BXFT","Swanside","1.1.2"
"00BXFU","Tower Hill","2.3.4"
"00BXFW","Whiston North","1.1.2"
"00BXFX","Whiston South","1.2.3"
"00BXFY","Whitefield","2.4.5"
"00BYFA","Abercromby","5.7.11"
"00BYFB","Aigburth","5.7.12"
"00BYFC","Allerton","1.1.2"
"00BYFD","Anfield","2.4.5"
"00BYFE","Arundel","5.7.11"
"00BYFF","Breckfield","2.3.4"
"00BYFG","Broadgreen","2.4.5"
"00BYFH","Childwall","1.1.2"
"00BYFJ","Church","5.7.12"
"00BYFK","Clubmoor","2.3.4"
"00BYFL","County","2.4.5"
"00BYFM","Croxteth","1.1.2"
"00BYFN","Dingle","2.4.5"
"00BYFP","Dovecot","2.3.4"
"00BYFQ","Everton","3.5.7"
"00BYFR","Fazakerley","2.4.5"
"00BYFS","Gillmoss","1.2.3"
"00BYFT","Granby","3.5.7"
"00BYFU","Grassendale","1.1.2"
"00BYFW","Kensington","2.4.5"
"00BYFX","Melrose","2.3.4"
"00BYFY","Netherley","2.3.4"
"00BYFZ","Old Swan","2.4.5"
"00BYGA","Picton","2.4.5"
"00BYGB","Pirrie","2.3.4"
"00BYGC","St. Mary's","2.4.5"
"00BYGD","Smithdown","2.4.5"
"00BYGE","Speke","2.3.4"
"00BYGF","Tuebrook","2.4.5"
"00BYGG","Valley","2.3.4"
"00BYGH","Vauxhall","3.5.7"
"00BYGJ","Warbreck","2.4.5"
"00BYGK","Woolton","1.1.2"
"00BZFA","Billinge and Seneley Green","1.1.2"
"00BZFB","Blackbrook","1.1.1"
"00BZFC","Broad Oak","2.3.4"
"00BZFD","Eccleston","1.1.2"
"00BZFE","Grange Park","2.4.5"
"00BZFF","Haydock","8.15.24"
"00BZFG","Marshalls Cross","1.1.1"
"00BZFH","Moss Bank","1.1.1"
"00BZFJ","Newton East","1.2.3"
"00BZFK","Newton West","1.2.3"
"00BZFL","Parr and Hardshaw","2.3.4"
"00BZFM","Queen's Park","2.4.5"
"00BZFN","Rainford","1.1.2"
"00BZFP","Rainhill","1.1.2"
"00BZFQ","Sutton and Bold","8.15.24"
"00BZFR","Thatto Heath","1.1.1"
"00BZFS","West Sutton","2.3.4"
"00BZFT","Windle","1.1.2"
"00CAGA","Ainsdale","1.1.2"
"00CAGB","Birkdale","1.1.2"
"00CAGC","Blundellsands","1.1.2"
"00CAGD","Cambridge","3.5.8"
"00CAGE","Church","2.4.5"
"00CAGF","Derby","2.4.5"
"00CAGG","Dukes","3.5.8"
"00CAGH","Ford","1.2.3"
"00CAGJ","Harington","9.17.26"
"00CAGK","Kew","8.13.22"
"00CAGL","Linacre","2.3.4"
"00CAGM","Litherland","2.4.5"
"00CAGN","Manor","1.1.2"
"00CAGP","Meols","1.1.2"
"00CAGQ","Molyneux","1.1.2"
"00CAGR","Netherton and Orrell","2.4.6"
"00CAGS","Norwood","8.13.22"
"00CAGT","Park","1.1.2"
"00CAGU","Ravenmeols","1.1.2"
"00CAGW","St Oswald","2.3.4"
"00CAGX","Sudell","1.1.2"
"00CAGY","Victoria","1.1.2"
"00CBFA","Bebington","1.1.2"
"00CBFB","Bidston","2.3.4"
"00CBFC","Birkenhead","2.3.4"
"00CBFD","Bromborough","2.4.5"
"00CBFE","Clatterbridge","7.10.16"
"00CBFF","Claughton","1.1.2"
"00CBFG","Eastham","1.1.2"
"00CBFH","Egerton","2.4.5"
"00CBFJ","Heswall","8.14.23"
"00CBFK","Hoylake","1.1.2"
"00CBFL","Leasowe","1.2.3"
"00CBFM","Liscard","2.4.5"
"00CBFN","Moreton","1.1.2"
"00CBFP","New Brighton","3.5.8"
"00CBFQ","Oxton","1.1.2"
"00CBFR","Prenton","1.1.2"
"00CBFS","Royden","1.1.2"
"00CBFT","Seacombe","2.4.5"
"00CBFU","Thurstaston","1.1.2"
"00CBFW","Tranmere","2.3.4"
"00CBFX","Upton","1.1.2"
"00CBFY","Wallasey","1.1.2"
"00CCFA","Ardsley","1.1.1"
"00CCFB","Athersley","1.2.3"
"00CCFC","Brierley","1.1.1"
"00CCFD","Central","2.4.5"
"00CCFE","Cudworth","1.1.1"
"00CCFF","Darfield","1.1.1"
"00CCFG","Darton","8.15.24"
"00CCFH","Dearne South","1.1.1"
"00CCFJ","Dearne Thurnscoe","1.1.1"
"00CCFK","Dodworth","1.1.2"
"00CCFL","Hoyland East","1.1.1"
"00CCFM","Hoyland West","1.1.1"
"00CCFN","Monk Bretton","1.1.1"
"00CCFP","North West","2.4.6"
"00CCFQ","Park","1.2.3"
"00CCFR","Penistone East","7.10.16"
"00CCFS","Penistone West","7.10.16"
"00CCFT","Royston","8.15.24"
"00CCFU","South West","8.13.22"
"00CCFW","Wombwell North","1.1.1"
"00CCFX","Wombwell South","8.15.24"
"00CCFY","Worsbrough","1.1.1"
"00CEFA","Adwick","1.2.3"
"00CEFB","Armthorpe","8.15.24"
"00CEFC","Askern","8.15.24"
"00CEFD","Balby","1.2.3"
"00CEFE","Bentley Central","1.2.3"
"00CEFF","Bentley North Road","1.2.3"
"00CEFG","Bessacarr","1.1.2"
"00CEFH","Central","2.4.5"
"00CEFJ","Conisbrough","1.1.1"
"00CEFK","Edlington and Warmsworth","1.1.1"
"00CEFL","Hatfield","8.15.24"
"00CEFM","Intake","1.2.3"
"00CEFN","Mexborough","1.1.1"
"00CEFP","Richmond","1.1.2"
"00CEFQ","Rossington","1.2.3"
"00CEFR","South East","7.10.16"
"00CEFS","Southern Parks","7.10.16"
"00CEFT","Stainforth","8.15.24"
"00CEFU","Thorne","1.2.3"
"00CEFW","Town Field","2.4.5"
"00CEFX","Wheatley","1.2.3"
"00CFFA","Anston and Woodsetts","7.10.16"
"00CFFB","Aston","8.15.24"
"00CFFC","Boston","1.1.2"
"00CFFD","Bramley","7.10.16"
"00CFFE","Brampton","8.15.24"
"00CFFF","Brinsworth","8.15.24"
"00CFFG","Broom","1.1.2"
"00CFFH","Central","2.4.5"
"00CFFJ","Dalton","1.2.3"
"00CFFK","Greasbrough","2.4.6"
"00CFFL","Herringthorpe","2.3.4"
"00CFFM","Kimberworth","8.15.24"
"00CFFN","Kiveton Park","1.1.2"
"00CFFP","Maltby","8.15.24"
"00CFFQ","Park","2.4.5"
"00CFFR","Rawmarsh East","1.2.3"
"00CFFS","Rawmarsh West","1.2.3"
"00CFFT","St. John's","8.15.24"
"00CFFU","Swinton","8.15.24"
"00CFFW","Thorpe Hesley","8.15.24"
"00CFFX","Thurcroft and Whiston","1.1.2"
"00CFFY","Wath","1.1.2"
"00CGFA","Beauchief","1.1.2"
"00CGFB","Birley","1.2.3"
"00CGFC","Brightside","1.2.3"
"00CGFD","Broomhill","5.7.11"
"00CGFE","Burngreave","6.8.14"
"00CGFF","Castle","2.3.4"
"00CGFG","Chapel Green","8.15.24"
"00CGFH","Darnall","1.2.3"
"00CGFJ","Dore","1.1.2"
"00CGFK","Ecclesall","7.12.19"
"00CGFL","Firth Park","2.3.4"
"00CGFM","Hallam","7.12.19"
"00CGFN","Handsworth","1.2.3"
"00CGFP","Heeley","2.4.5"
"00CGFQ","Hillsborough","1.1.2"
"00CGFR","Intake","2.4.6"
"00CGFS","Manor","2.3.4"
"00CGFT","Mosborough","8.15.24"
"00CGFU","Nether Edge","5.7.12"
"00CGFW","Nether Shire","2.3.4"
"00CGFX","Netherthorpe","5.7.11"
"00CGFY","Norton","2.4.6"
"00CGFZ","Owlerton","1.2.3"
"00CGGA","Park","2.3.4"
"00CGGB","Sharrow","5.7.11"
"00CGGC","Southey Green","2.3.4"
"00CGGD","South Wortley","1.1.2"
"00CGGE","Stocksbridge","8.15.24"
"00CGGF","Walkley","5.7.12"
"00CHFA","Bede","3.5.7"
"00CHFB","Bensham","2.4.5"
"00CHFC","Birtley","1.1.1"
"00CHFD","Blaydon","1.2.3"
"00CHFE","Chopwell and Rowlands Gill","1.1.1"
"00CHFF","Chowdene","2.4.6"
"00CHFG","Crawcrook and Greenside","7.10.17"
"00CHFH","Deckham","2.4.6"
"00CHFJ","Dunston","1.2.3"
"00CHFK","Felling","3.5.7"
"00CHFL","High Fell","2.3.4"
"00CHFM","Lamesley","1.1.1"
"00CHFN","Leam","2.4.6"
"00CHFP","Low Fell","1.1.2"
"00CHFQ","Pelaw and Heworth","2.4.6"
"00CHFR","Ryton","1.1.2"
"00CHFS","Saltwell","2.4.5"
"00CHFT","Teams","2.4.6"
"00CHFU","Whickham North","1.1.2"
"00CHFW","Whickham South","1.1.2"
"00CHFX","Winlaton","1.1.2"
"00CHFY","Wrekendyke","2.4.6"
"00CJFA","Benwell","2.4.6"
"00CJFB","Blakelaw","2.4.6"
"00CJFC","Byker","3.5.7"
"00CJFD","Castle","1.1.2"
"00CJFE","Dene","1.1.2"
"00CJFF","Denton","2.4.6"
"00CJFG","Elswick","6.8.14"
"00CJFH","Fawdon","2.4.6"
"00CJFJ","Fenham","2.4.6"
"00CJFK","Grange","5.7.12"
"00CJFL","Heaton","5.7.11"
"00CJFM","Jesmond","5.7.11"
"00CJFN","Kenton","2.4.6"
"00CJFP","Lemington","2.4.6"
"00CJFQ","Monkchester","2.3.4"
"00CJFR","Moorside","5.7.11"
"00CJFS","Newburn","2.4.6"
"00CJFT","Sandyford","5.7.11"
"00CJFU","Scotswood","2.3.4"
"00CJFW","South Gosforth","5.7.12"
"00CJFX","Walker","3.5.7"
"00CJFY","Walkergate","2.4.6"
"00CJFZ","West City","3.5.7"
"00CJGA","Westerhope","1.1.2"
"00CJGB","Wingrove","7.12.20"
"00CJGC","Woolsington","2.3.4"
"00CKFA","Battle Hill","2.4.6"
"00CKFB","Benton","1.1.2"
"00CKFC","Camperdown","1.2.3"
"00CKFD","Chirton","2.4.5"
"00CKFE","Collingwood","2.4.6"
"00CKFF","Cullercoats","1.1.2"
"00CKFG","Holystone","1.1.2"
"00CKFH","Howdon","2.4.6"
"00CKFJ","Longbenton","3.5.7"
"00CKFK","Monkseaton","1.1.2"
"00CKFL","North Shields","3.5.8"
"00CKFM","Northumberland","2.4.6"
"00CKFN","Riverside","2.3.4"
"00CKFP","St. Mary's","7.12.19"
"00CKFQ","Seatonville","1.1.2"
"00CKFR","Tynemouth","5.7.12"
"00CKFS","Valley","1.2.3"
"00CKFT","Wallsend","2.4.5"
"00CKFU","Weetslade","1.1.2"
"00CKFW","Whitley Bay","5.7.12"
"00CLFA","All Saints","2.3.4"
"00CLFB","Beacon and Bents","2.4.5"
"00CLFC","Bede","2.3.4"
"00CLFD","Biddick Hall","2.3.4"
"00CLFE","Boldon Colliery","2.4.6"
"00CLFF","Cleadon and East Boldon","7.12.19"
"00CLFG","Cleadon Park","2.3.4"
"00CLFH","Fellgate and Hedworth","2.4.6"
"00CLFJ","Harton","2.4.6"
"00CLFK","Hebburn Quay","2.4.6"
"00CLFL","Hebburn South","2.4.6"
"00CLFM","Horsley Hill","2.4.6"
"00CLFN","Monkton","2.4.6"
"00CLFP","Primrose","2.4.6"
"00CLFQ","Rekendyke","3.5.7"
"00CLFR","Tyne Dock and Simonside","2.3.4"
"00CLFS","Westoe","5.7.12"
"00CLFT","West Park","1.1.2"
"00CLFU","Whitburn and Marsden","1.1.2"
"00CLFW","Whiteleas","2.3.4"
"00CMFA","Castletown","2.3.4"
"00CMFB","Central","2.4.5"
"00CMFC","Colliery","2.4.6"
"00CMFD","Eppleton","1.1.1"
"00CMFE","Fulwell","1.1.2"
"00CMFF","Grindon","2.4.6"
"00CMFG","Hendon","2.4.5"
"00CMFH","Hetton","1.1.1"
"00CMFJ","Houghton","1.1.1"
"00CMFK","Pallion","1.1.1"
"00CMFL","Ryhope","2.4.6"
"00CMFM","St. Chad's","1.1.2"
"00CMFN","St. Michael's","1.1.2"
"00CMFP","St. Peter's","2.4.6"
"00CMFQ","Shiney Row","8.15.24"
"00CMFR","Silksworth","2.4.6"
"00CMFS","South Hylton","2.3.4"
"00CMFT","Southwick","2.3.4"
"00CMFU","Thorney Close","2.3.4"
"00CMFW","Thornholme","5.7.12"
"00CMFX","Town End Farm","2.3.4"
"00CMFY","Washington East","1.1.1"
"00CMFZ","Washington North","1.1.1"
"00CMGA","Washington South","8.15.24"
"00CMGB","Washington West","1.1.1"
"00CNFA","Acock's Green","2.4.5"
"00CNFB","Aston","6.8.14"
"00CNFC","Bartley Green","2.3.4"
"00CNFD","Billesley","2.4.5"
"00CNFE","Bournville","5.7.12"
"00CNFF","Brandwood","2.4.6"
"00CNFG","Edgbaston","5.7.11"
"00CNFH","Erdington","2.4.5"
"00CNFJ","Fox Hollies","2.4.5"
"00CNFK","Hall Green","7.12.20"
"00CNFL","Handsworth","6.8.14"
"00CNFM","Harborne","5.7.12"
"00CNFN","Hodge Hill","1.2.3"
"00CNFP","Kingsbury","2.3.4"
"00CNFQ","King's Norton","2.3.4"
"00CNFR","Kingstanding","2.3.4"
"00CNFS","Ladywood","6.9.15"
"00CNFT","Longbridge","2.3.4"
"00CNFU","Moseley","5.7.12"
"00CNFW","Nechells","6.8.14"
"00CNFX","Northfield","1.1.2"
"00CNFY","Oscott","1.2.3"
"00CNFZ","Perry Barr","7.10.17"
"00CNGA","Quinton","1.1.2"
"00CNGB","Sandwell","6.8.14"
"00CNGC","Selly Oak","5.7.11"
"00CNGD","Shard End","2.3.4"
"00CNGE","Sheldon","1.2.3"
"00CNGF","Small Heath","6.8.14"
"00CNGG","Soho","6.8.14"
"00CNGH","Sparkbrook","6.8.14"
"00CNGJ","Sparkhill","6.8.14"
"00CNGK","Stockland Green","2.4.5"
"00CNGL","Sutton Four Oaks","7.12.19"
"00CNGM","Sutton New Hall","1.1.2"
"00CNGN","Sutton Vesey","7.12.19"
"00CNGP","Washwood Heath","6.8.14"
"00CNGQ","Weoley","2.4.5"
"00CNGR","Yardley","1.2.3"
"00CQFA","Bablake","8.15.24"
"00CQFB","Binley and Willenhall","1.2.3"
"00CQFC","Cheylesmore","5.7.12"
"00CQFD","Earlsdon","7.12.19"
"00CQFE","Foleshill","6.8.14"
"00CQFF","Henley","1.2.3"
"00CQFG","Holbrook","1.1.1"
"00CQFH","Longford","2.4.5"
"00CQFJ","Lower Stoke","2.4.5"
"00CQFK","Radford","2.4.5"
"00CQFL","St. Michael's","6.8.14"
"00CQFM","Sherbourne","2.4.5"
"00CQFN","Upper Stoke","2.4.5"
"00CQFP","Wainbody","5.7.13"
"00CQFQ","Westwood","1.2.3"
"00CQFR","Whoberley","5.7.12"
"00CQFS","Woodlands","8.15.24"
"00CQFT","Wyken","1.1.1"
"00CRFA","Amblecote","8.15.24"
"00CRFB","Belle Vale and Hasbury","8.15.24"
"00CRFC","Brierley Hill","1.2.3"
"00CRFD","Brockmoor and Pensnett","1.2.3"
"00CRFE","Castle and Priory","1.1.1"
"00CRFF","Coseley East","8.15.24"
"00CRFG","Coseley West","8.15.24"
"00CRFH","Gornal","8.15.24"
"00CRFJ","Halesowen North","8.15.24"
"00CRFK","Halesowen South","1.1.2"
"00CRFL","Hayley Green","1.1.2"
"00CRFM","Kingswinford North and Wall Heath","7.10.16"
"00CRFN","Kingswinford South","7.10.16"
"00CRFP","Lye and Wollescote","1.1.1"
"00CRFQ","Netherton and Woodside","1.1.1"
"00CRFR","Norton","7.10.16"
"00CRFS","Pedmore and Stourbridge East","7.10.16"
"00CRFT","Quarry Bank and Cradley","8.15.24"
"00CRFU","St. Andrews","1.1.1"
"00CRFW","St. James's","1.2.3"
"00CRFX","St. Thomas's","2.3.4"
"00CRFY","Sedgley","7.10.16"
"00CRFZ","Wollaston and Stourbridge West","1.1.2"
"00CRGA","Wordsley","8.15.24"
"00CSFA","Abbey","5.7.12"
"00CSFB","Blackheath","1.1.1"
"00CSFC","Bristnall","1.1.1"
"00CSFD","Charlemont","1.1.2"
"00CSFE","Cradley Heath and Old Hill","1.1.1"
"00CSFF","Friar Park","1.1.1"
"00CSFG","Great Barr","8.15.24"
"00CSFH","Great Bridge","1.1.1"
"00CSFJ","Greets Green and Lyng","2.4.5"
"00CSFK","Hateley Heath","1.1.1"
"00CSFL","Langley","1.2.3"
"00CSFM","Newton","1.1.2"
"00CSFN","Oldbury","2.4.5"
"00CSFP","Old Warley","1.1.2"
"00CSFQ","Princes End","2.3.4"
"00CSFR","Rowley","1.1.1"
"00CSFS","St. Pauls","6.8.14"
"00CSFT","Smethwick","6.8.14"
"00CSFU","Soho and Victoria","6.8.14"
"00CSFW","Tipton Green","1.2.3"
"00CSFX","Tividale","8.15.24"
"00CSFY","Wednesbury North","1.1.1"
"00CSFZ","Wednesbury South","1.1.1"
"00CSGA","West Bromwich Central","6.8.14"
"00CTFA","Bickenhill","1.1.2"
"00CTFB","Castle Bromwich","1.1.2"
"00CTFC","Chelmsley Wood","2.3.4"
"00CTFD","Elmdon","1.1.2"
"00CTFE","Fordbridge","2.3.4"
"00CTFF","Kingshurst","1.2.3"
"00CTFG","Knowle","9.17.26"
"00CTFH","Lyndon","1.1.2"
"00CTFJ","Meriden","9.17.26"
"00CTFK","Olton","7.12.19"
"00CTFL","Packwood","9.17.26"
"00CTFM","St. Alphege","9.17.26"
"00CTFN","Shirley East","1.1.2"
"00CTFP","Shirley South","7.10.16"
"00CTFQ","Shirley West","7.10.17"
"00CTFR","Silhill","7.12.19"
"00CTFS","Smith's Wood","2.3.4"
"00CUFA","Aldridge Central and South","1.1.2"
"00CUFB","Aldridge North and Walsall Wood","8.15.24"
"00CUFC","Bentley and Darlaston North","1.2.3"
"00CUFD","Birchills Leamore","2.3.4"
"00CUFE","Blakenall","2.3.4"
"00CUFF","Bloxwich East","1.1.1"
"00CUFG","Bloxwich West","1.1.1"
"00CUFH","Brownhills","8.15.24"
"00CUFJ","Darlaston South","2.3.4"
"00CUFK","Hatherton Rushall","8.15.24"
"00CUFL","Paddock","7.10.16"
"00CUFM","Palfrey","6.8.14"
"00CUFN","Pelsall","8.15.24"
"00CUFP","Pheasey","8.15.24"
"00CUFQ","Pleck","6.8.14"
"00CUFR","St. Matthew's","6.8.14"
"00CUFS","Short Heath","8.15.24"
"00CUFT","Streetly","7.10.16"
"00CUFU","Willenhall North","8.15.24"
"00CUFW","Willenhall South","1.1.1"
"00CWFA","Bilston East","2.3.4"
"00CWFB","Bilston North","1.1.1"
"00CWFC","Blakenhall","6.8.14"
"00CWFD","Bushbury","8.15.24"
"00CWFE","East Park","2.3.4"
"00CWFF","Ettingshall","2.3.4"
"00CWFG","Fallings Park","1.2.3"
"00CWFH","Graiseley","2.4.5"
"00CWFJ","Heath Town","2.3.4"
"00CWFK","Low Hill","2.3.4"
"00CWFL","Merry Hill","1.1.2"
"00CWFM","Oxley","1.2.3"
"00CWFN","Park","5.7.12"
"00CWFP","Penn","1.1.2"
"00CWFQ","St. Peter's","6.8.14"
"00CWFR","Spring Vale","8.15.24"
"00CWFS","Tettenhall Regis","1.1.2"
"00CWFT","Tettenhall Wightwick","8.14.23"
"00CWFU","Wednesfield North","8.15.24"
"00CWFW","Wednesfield South","8.15.24"
"00CXFA","Baildon","1.1.2"
"00CXFB","Bingley","7.10.17"
"00CXFC","Bingley Rural","1.1.2"
"00CXFD","Bolton","8.15.24"
"00CXFE","Bowling","6.8.14"
"00CXFF","Bradford Moor","6.8.14"
"00CXFG","Clayton","1.2.3"
"00CXFH","Craven","1.1.2"
"00CXFJ","Eccleshill","1.2.3"
"00CXFK","Great Horton","2.4.5"
"00CXFL","Heaton","6.8.14"
"00CXFM","Idle","7.10.17"
"00CXFN","Ilkley","7.12.19"
"00CXFP","Keighley North","7.10.17"
"00CXFQ","Keighley South","2.4.5"
"00CXFR","Keighley West","2.4.5"
"00CXFS","Little Horton","6.8.14"
"00CXFT","Odsal","2.4.5"
"00CXFU","Queensbury","7.10.17"
"00CXFW","Rombalds","7.12.19"
"00CXFX","Shipley East","1.2.3"
"00CXFY","Shipley West","7.12.20"
"00CXFZ","Thornton","1.2.3"
"00CXGA","Toller","6.8.14"
"00CXGB","Tong","1.2.3"
"00CXGC","Undercliffe","2.4.5"
"00CXGD","University","6.8.14"
"00CXGE","Wibsey","1.2.3"
"00CXGF","Worth Valley","7.10.17"
"00CXGG","Wyke","1.2.3"
